result_id,method_id,dataset,protocol_id,seed,seeds,aggregation,selection_split,soft_acc,hard_acc,acc_gap,final_hard_acc,best_hard_acc,train_time_s,budget,unused_gate_ratio,gate_count,depth,fanout_max,runtime_compliance,float_tensor_count,audit_ops,training_health,decision,evidence,soft_loss,hard_loss,loss_gap,test_soft_acc,test_hard_acc,test_acc_gap,inactive_neuron_ratio,protocol_sha256,deployment_payload_sha256
bool_dlgn_mean,dlgn_2input,boolean3,boolean_w128_d4_120e_s012,,3,mean across datasets and seeds,validation,0.8210,0.6128,0.2778,0.6128,0.6128,,120 epochs,0.9314,512,4,,hard_payload_not_operator_audited,,,pass,baseline,../docs/reports/mind_gap_scaled_hard_lgn_results_20260723.md,,,,,,,,,
bool_gumbel_mean,gumbel_st_lgn,boolean3,boolean_w128_d4_120e_s012,,3,mean across datasets and seeds,validation,0.4764,0.5408,0.0647,0.5408,0.5408,,120 epochs,0.9907,512,4,,hard_payload_not_operator_audited,,,collapsed_accuracy,baseline,../docs/reports/mind_gap_scaled_hard_lgn_results_20260723.md,,,,,,,,,
bool_block_refit_mean,block_hard_refit,boolean3,boolean_w128_d4_120e_s012,,3,mean across datasets and seeds,validation,0.5161,0.6549,0.1771,0.6549,0.6549,,120 epoch-equivalent,0.9876,512,4,,operator_audited_bool_int,0,39,pass,screen,../docs/repro/strict_boolean_scaled_20260723/summary.md,,,,,,,,,
bool_task_refit_mean,block_task_refit,boolean3,boolean_w128_d4_120e_s012,,3,mean across datasets and seeds,validation,0.5048,0.5846,0.1111,0.5846,0.5846,,120 epoch-equivalent,0.9850,512,4,,operator_audited_bool_int,0,39,pass,screen,../docs/repro/strict_boolean_scaled_20260723/summary.md,,,,,,,,,
direct_lut_b3_mnist,direct_lut_b3,binarized_mnist,direct_lut_mnist_w800_d3_80e_s0,0,1,single run,test,,0.835667,,0.835667,0.835667,,80 epochs,,7200,3,,hard_payload_not_operator_audited,,,pass,screen,../docs/methods_and_results_summary_20260710.md,,,,,,,,,
full_k_mnist_k16,full_k_count,binarized_mnist,full_k_mnist_k16_capture,0,1,single run,test,,0.9037,,0.9037,0.9037,,,,,,,hard_payload_not_operator_audited,,,pass,screen,../docs/repro/210_hard_lgn_results_20260723/README.md,,,,,,,,,
bitstate_progressive_w4096,bitstate_progressive,cifar10,bitstate_full_w4096_30e_s0,0,1,single run,test,0.2702,0.2644,0.0058,0.2644,0.2722,1994.731,30 epochs,0.000601,14976,9,228,bit_exact_bool_int_reference,0,,pass,screen,../docs/repro/bitstate_h200_long_cifar_20260723/hard_scale16_summary.json,,,,,,,,,
bitstate_progressive_w8192,bitstate_progressive,cifar10,bitstate_full_w8192_30e_s0,0,1,single run,test,0.2793,0.2788,0.0005,0.2788,,3161.143,30 epochs,0.000293,27264,9,429,bit_exact_bool_int_reference,0,,pass,screen,../docs/repro/bitstate_h200_followup_cifar_20260723/hard_scale16_w8192_seed0_summary.json,,,,,,,,,
bitstate_count_token_short,bitstate_count_token,cifar10,bitstate_count_token_10k_8e_s0,0,1,single run,test,0.1930,0.2200,0.0270,0.2200,0.2260,203.3,8 epochs,0.0107,14976,9,228,bit_exact_bool_int_reference,0,,pass,screen,../docs/repro/bitstate_count_token_screen_20260723/count_token_summary.json,,,,,,,,,
full_discrete_d6_strict,full_discrete_a8,cifar10,full_discrete_d6e192_50k_s42,42,1,single run,validation,,0.7530,,0.7530,0.7534,6239.249,50000 steps,,,,,operator_audited_bool_int,0,14319802,pass,baseline,../docs/repro/strict_integer_runtime_20260723/fd_control_seed42_strict_integer_validation5000.json,,,,,,,,,
